,MACD_20_60,RSI252,MACD_5_20,RSI60,RSI20,VWAP,PSY60,PSY20,PSY252,changepoint_bocd,signal_momentum,Symbol,Close,prediction
2023-12-14,-0.3783716620946507,0.5170745864370707,0.10584990869373456,0.41200971884762233,0.49438202247191015,44.37396438583575,0.45,0.5,0.5,0.05623056663051422,-0.002805486284289227,PLX,31.99,0.0
2023-12-14,-0.6395674323688638,0.4644588045234248,0.2595308508549721,0.42783505154639156,0.48631239935587744,50.90697562536851,0.45,0.45,0.42857142857142855,0.057963167920148724,-0.00431472081218276,BVH,39.23,0.0
2023-12-14,-1.0885835224552203,0.4704307074313769,-0.3069898701933127,0.3687022900763359,0.18487394957983141,21.42349111738121,0.36666666666666664,0.15,0.4365079365079365,0.06644236045159024,-0.036337209302325535,SSB,19.89,0.0
2023-12-14,0.3879628635271306,0.5638880876838764,0.21556628426291624,0.5745856353591159,0.4912280701754388,11.8928553834029,0.43333333333333335,0.5,0.503968253968254,0.058305915173019564,-0.002636783124587927,HDB,15.13,0.0
2023-12-14,-2.60724520513849,0.4749385749385749,-0.05150656675544951,0.39239130434782593,0.45454545454545436,64.91546693600012,0.43333333333333335,0.45,0.4722222222222222,0.05394065502435508,-0.020656136087484844,VHM,40.3,0.0
2023-12-14,1.446470849689021,0.4890169247389269,-0.325474996217352,0.5390625,0.43333333333333324,124.12097648159049,0.55,0.6,0.49206349206349204,0.06077161073253947,-0.029493087557603714,VJC,105.3,0.0
2023-12-14,-2.8149880517527492,0.449685534591195,1.2470341837808832,0.4188235294117647,0.4784482758620689,78.90909347767882,0.48333333333333334,0.5,0.46825396825396826,0.06394570061617356,-0.015151515151515138,MSN,65.0,0.0
2023-12-14,-1.3194888229912358,0.4800759013282733,-0.06513162144750595,0.4050179211469535,0.4206349206349204,30.711440057269556,0.45,0.45,0.4444444444444444,0.05839733182867333,-0.04192872117400415,VRE,22.85,0.0
2023-12-14,-0.5974198390058092,0.5444178516119949,-0.5991694364154867,0.47153668970055945,0.34810126582278544,37.95179751225498,0.45,0.4,0.5158730158730159,0.05830283205652799,-0.040774719673802196,VCB,56.46,0.0
2023-12-14,-1.0476342400770164,0.45855300768595564,1.837607726162993,0.4415869218500798,0.5713319810682893,60.19714692607483,0.35,0.3,0.376984126984127,0.05668870450050454,0.034801253504865626,BCM,62.74,1.0
2023-12-14,0.022239858110268074,0.5145129224652087,0.21741092829438102,0.4533410138248848,0.4496855345911948,23.609725282027572,0.4166666666666667,0.35,0.49206349206349204,0.05852787779420646,-0.011821204285186515,CTG,26.75,0.0
2023-12-14,0.1571559095915731,0.529764599366229,0.11337475866253044,0.44625046176579247,0.5141776937618149,23.054550222893294,0.5333333333333333,0.55,0.5277777777777778,0.057250172419188707,0.007684426229508379,GVR,19.67,0.0
2023-12-14,0.3997334941841473,0.5569997292174383,0.19714704019561502,0.5231729055258466,0.5,8.202671400329365,0.5166666666666667,0.45,0.5357142857142857,0.05553703560999537,0.0,LPB,12.48,0.0
2023-12-14,-0.0604082132325523,0.5263157894736841,0.020574957672099714,0.44444444444444436,0.38749999999999984,13.503370029325291,0.5,0.45,0.4801587301587302,0.05465888316536997,-0.03550295857988173,VIB,14.67,0.0
2023-12-14,-2.3861624041893634,0.44935933672508005,-0.2426919310800031,0.3803121619533304,0.4647705235940529,75.08181993191529,0.4,0.4,0.4166666666666667,0.0557817670261319,-0.01862611073137399,SAB,57.43,0.0
2023-12-14,0.7515526022702375,0.5317366449832446,1.1745455780005116,0.5239953179867343,0.6399026763990274,24.220401132605467,0.45,0.55,0.4523809523809524,0.055746499004417714,0.0716957605985038,BID,34.38,0.0
2023-12-14,-2.043556094684064,0.48965032697400424,0.9005526212380701,0.3937436246174771,0.5038520801232667,46.533551731671345,0.43333333333333335,0.4,0.48412698412698413,0.05894374999662353,0.0024289531212047244,MWG,41.27,1.0
2023-12-14,1.5981974235114933,0.5856404214935531,1.6057165390901957,0.49561328057801474,0.5890052356020941,41.585974425168054,0.5,0.65,0.49603174603174605,0.0530237661313197,0.034395548811330334,FPT,81.8,1.0
2023-12-14,-2.172713020391896,0.44875199150292083,0.5325918232617184,0.40186915887850466,0.43564356435643553,74.61481345608617,0.4666666666666667,0.5,0.3968253968253968,0.05186002679081741,-0.02882483370288258,VIC,43.8,0.0
2023-12-14,-0.27230401209201816,0.5247135283051138,-0.13606411332334645,0.4516539440203563,0.38504155124653744,16.66619825735901,0.48333333333333334,0.45,0.49603174603174605,0.06054074549239986,-0.04513322457857538,VPB,17.56,0.0
2023-12-14,-0.07257369462542407,0.5266531713900134,-0.03539572874064234,0.4393939393939394,0.32631578947368395,8.61036610945422,0.4166666666666667,0.4,0.42857142857142855,0.05868025911117002,-0.06846473029045641,SHB,8.98,0.0
2023-12-14,0.525146603365549,0.5532663316582914,0.14635201700153289,0.47162839799419376,0.4870967741935485,19.013821965011942,0.5,0.5,0.5079365079365079,0.05614235855741471,-0.009516256938937317,SSI,24.98,0.0
2023-12-14,-0.908810975251928,0.5247229326513214,-0.5552980022808462,0.41860465116279066,0.31097560975609767,22.282268650489623,0.4,0.35,0.5119047619047619,0.0629690135128517,-0.10264900662251653,STB,27.1,0.0
2023-12-14,0.040319052631971886,0.5369528140989198,0.06333786113056128,0.5040935672514618,0.3833333333333328,11.996966249969812,0.45,0.45,0.4444444444444444,0.05468816967340603,-0.03425076452599407,ACB,15.79,0.0
2023-12-14,0.5439742777205154,0.5461871541977388,0.3059136906006543,0.4740834386852086,0.490084985835694,22.249312213394635,0.48333333333333334,0.55,0.5079365079365079,0.05563899000670509,-0.005661140315406432,HPG,24.59,0.0
2023-12-14,-0.08499081373313366,0.5194610778443114,0.0027109260369773125,0.4227488151658767,0.4041666666666665,13.176676834284256,0.4,0.45,0.48412698412698413,0.05733698106656946,-0.034769463340891926,TPB,12.77,0.0
2023-12-14,-0.28007099272390334,0.5164366883116884,0.050113951923094646,0.42673107890499196,0.4108280254777072,18.230600536891345,0.4,0.45,0.4444444444444444,0.057236634606415766,-0.03643461288223804,TCB,14.81,0.0
2023-12-14,-0.01782545918141487,0.5342501983602221,0.04809854781439249,0.45974576271186424,0.40306122448979553,13.196505734482628,0.43333333333333335,0.3,0.49206349206349204,0.05554195641212843,-0.02414231257941557,MBB,15.36,0.0
2023-12-14,-1.6311402160274895,0.4809423269252139,-0.6103732473452226,0.4001851851851852,0.40014164305949046,66.90093682983671,0.36666666666666664,0.4,0.4246031746031746,0.0722222708541477,-0.0387362637362636,GAS,69.98,0.0
