,MACD_20_40,RSI40,RSI20,RSI10,VWAP,MACD_1_5,changepoint_bocd,MACD_5_10,signal_momentum,RSI5,prediction,Symbol,Close,vol
2023-11-30,0.0037574828090267687,0.5177514792899408,0.46177370030581044,0.18954248366013104,15.716895094228807,-0.06580794755615216,0.03396834268728087,-0.10007943372891148,0.006535947712418277,0.31250000000000044,0.025611794,ACB,15.4,0.2308727226000785
2023-11-30,-0.00036094289694688086,0.4841040462427746,0.5119047619047619,0.25409836065573727,15.292702596079527,-0.03412843890897754,0.03419908626101506,-0.05686778111701685,0.007989347536617952,0.4150943396226413,0.059637956,MBB,15.14,0.2315935707421714
2023-11-30,-0.08192241739765649,0.4356321839080459,0.5082352941176471,0.21081081081081066,14.834643336936983,-0.1709832761713752,0.03461104672707941,-0.15137007342064202,-0.037685060565275874,0.29245283018867896,0.011943259,TCB,14.3,0.3194750992431389
2023-11-30,-0.09813769531418615,0.5033751205400191,0.3667595171773444,0.24654377880184397,57.70495195829683,-0.4298745785907556,0.04591129249050835,-0.28899560552694226,0.002476999292285731,0.28099173553719115,0.006367989,VCB,56.66,0.17815184416194063
2023-11-30,0.1579452424392116,0.4945542557482856,0.6002132196162048,0.4308510638297875,24.100306598611315,-0.1313359100230045,0.05921782343840868,-0.01582983288088613,0.040000000000000036,0.5683760683760682,0.20767912,SSI,24.44,0.5344040655643982
2023-11-30,0.09284408836306923,0.5167785234899329,0.6710775047258977,0.5503355704697988,19.397233352511744,0.23249935257289422,0.03562020928822278,0.11495256752320415,0.017976373908577425,0.7916666666666665,0.7141194,GVR,19.82,0.47393884296277017
2023-11-30,-0.7798620557738261,0.3846153846153846,0.4533898305084745,0.2727272727272728,64.3961928702305,-1.2470410752637164,0.0368703052211692,-0.6090599783258241,-0.0888554216867471,0.2941176470588236,0.0013852147,MSN,60.5,0.4229554441661674
2023-11-30,-0.5454079987716014,0.4491392801251956,0.5546558704453439,0.5157894736842105,41.3426634686255,0.65866926056853,0.26656039005307297,0.2847311633491003,-0.028235294117647136,1.0,0.44176048,VHM,41.3,0.39907796696004405
2023-11-30,-0.27658888886197275,0.4246575342465754,0.5120967741935483,0.25547445255474444,43.258377557203616,-0.33198729107529346,0.07562217641343764,-0.24540623055494848,-0.03356481481481488,0.6097560975609764,0.022893064,VIC,41.75,0.34844993034612753
2023-11-30,-0.8384176358767164,0.399809840741621,0.5450151057401813,0.30789133247089284,40.98400205701346,-0.07052316564526961,0.034913088651642527,-0.39218747466692605,-0.10454758556024368,0.7073170731707328,0.022876622,MWG,38.2,0.4975844212200261
2023-11-30,-0.030874632418388614,0.5183741648106903,0.5970695970695967,0.5623721881390591,32.26473346612727,0.4537778353995421,0.1082298673465728,0.33986526824716634,0.0030684258975144374,0.7066246056782329,0.49603376,PLX,32.69,0.3375027503473099
2023-11-30,0.05459869626085023,0.5242165242165242,0.565982404692082,0.3515624999999997,12.736394408712952,0.0694840095278213,0.05219339742883677,-0.02657090926345873,0.052416052416052406,0.5,0.33097696,TPB,12.85,0.2871469881405346
2023-11-30,0.0654072345604817,0.502994011976048,0.5723491505565318,0.4384105960264907,77.87623667213538,0.3082647426473528,0.034848129718768814,0.08972096545261365,-0.0010226255912053617,0.7640449438202258,0.42807558,FPT,78.15,0.29750637083597403
2023-11-30,-0.1396201231699834,0.468045112781955,0.47833935018050533,0.28977272727272735,18.589089660049975,-0.1274273649718083,0.0961552173707168,-0.0904761870118378,-0.06613756613756616,0.44186046511627863,0.012607153,VPB,17.65,0.302998985027143
2023-11-30,-0.5097872164958694,0.3756613756613757,0.4335260115606937,0.2463768115942027,24.064514557002905,-0.5257469335593932,0.05773631935595405,-0.18887009112118847,-0.16287878787878773,0.3529411764705878,0.00051364844,VRE,22.1,0.40670660595558894
2023-11-30,0.02762596137719875,0.5087108013937283,0.516320474777448,0.27272727272727254,14.589653847723756,-0.04079966938694035,0.03441008152416492,-0.06919690378478904,0.024717514124293682,0.43548387096774177,0.09377537,VIB,14.51,0.2947405311119744
2023-11-30,-0.30669737114169493,0.4583872358775334,0.5736137667304017,0.5335968379446641,55.36556075942249,0.25476789423248647,0.055112136610971814,0.4964716630592747,-0.048326502732240484,0.8283333333333331,0.14657761,SAB,55.73,0.43739627149847615
2023-11-30,-0.6447028310711289,0.33977348434377075,0.5073020753266717,0.11267605633802745,59.636262489426564,-0.1907634766847579,0.04468186222087074,-0.3265515516881834,-0.06354132636393339,0.5581395348837223,0.007182673,BCM,57.33,0.2443640704529504
2023-11-30,0.11986334981896363,0.5529953917050693,0.6148648648648648,0.31034482758620685,25.956352832415504,-0.01368505248800389,0.03567889007760589,-0.015716296115428463,0.027745212973817823,0.6164383561643852,0.40665948,CTG,26.3,0.2052326142715231
2023-11-30,0.04767946075204321,0.5229357798165138,0.48484848484848486,0.16326530612244908,9.052007957064518,-0.0591580508233438,0.09594406018589349,-0.07151749014022535,0.0490654205607477,0.28571428571428653,0.04969596,SHB,8.98,0.3282200560409788
2023-11-30,-0.33798200377751897,0.41286307053941906,0.2801788375558867,0.08791208791208632,21.240601058514574,-0.28045578514798564,0.06894804326468293,-0.16848191897505416,-0.0817174515235457,0.15384615384615188,0.00035307507,SSB,19.89,0.29061107373292566
2023-11-30,-0.08023582414175223,0.4359504132231403,0.44404332129963914,0.28852459016393384,38.8402851368121,-0.33941071940465406,0.04595807202290859,-0.11553432099166372,-0.006258148631030025,0.3807339449541277,0.01110261,BVH,38.11,0.2104660486494279
2023-11-30,0.07983126045646927,0.5971223021582734,0.48648648648648646,0.41860465116279016,11.833332101075742,0.09811935111157943,0.0358639828691727,-0.029504254068273283,0.08831400535236389,0.6499999999999996,0.5474452,LPB,12.2,0.3310233801003451
2023-11-30,0.5448230771287683,0.5533661740558293,0.4577259475218658,0.2981366459627328,103.80546709498063,-3.003265208210749,0.6043413879555489,-0.7433848113849137,-0.02949571836346332,0.2916666666666664,0.0007378416,VJC,102.0,0.36138156753209366
2023-11-30,-0.6897783511591058,0.39730442426018164,0.39017857142857176,0.2787794729542307,73.50773954480124,-0.6403813605178925,0.11269279353897911,-0.43108468679452017,-0.06601368576412181,0.4281250000000011,0.0016375249,GAS,69.61,0.2599638211666757
2023-11-30,-0.2885321568356538,0.4449541284403671,0.4184782608695653,0.20652173913043512,29.198861513177878,-0.3977420852292042,0.09173739344018757,-0.39415061078709357,-0.051724137931034475,0.35416666666666685,0.006505992,STB,27.5,0.3773835152793001
2023-11-30,0.2703916464386289,0.54724111866969,0.5792880258899678,0.42774566473988446,19.46954653849704,-0.07197431036178159,0.04177423054147488,0.03492118028411184,0.1203342618384402,0.6934306569343073,0.61193424,HPG,20.11,0.3648476891489584
2023-11-30,0.08603440200533186,0.5714285714285713,0.5476190476190476,0.24324324324324378,14.340367436624884,-0.08729663323597947,0.03942544782171812,-0.09926087864974065,0.028551034975017764,0.4545454545454557,0.1346952,HDB,14.41,0.23954353636268588
2023-11-30,-0.5371209487595436,0.415879678209164,0.3527777777777777,0.1455525606469,63.9736865813008,-0.6942965117578339,0.1278461284300048,-0.4124623896367865,-0.056027164685908515,0.18947368421052546,0.0004896373,VNM,61.16,0.21979034472129158
2023-11-30,0.32378288238515296,0.5487210718635811,0.5992414664981038,0.5034324942791764,30.880114043591096,0.02724851805582773,0.0364924143302857,0.16654545368295715,0.08921302578018997,0.6271929824561407,0.6766074,BID,32.11,0.2658919099801866
2023-12-01,-0.069883163385974,0.4611842105263157,0.5207296849087895,0.4727272727272727,38.83911903619121,0.2270595158336164,0.046447386304755756,-0.04293258753668994,-0.008182050626438286,0.5741444866920155,0.1853765,BVH,38.79,0.21393968513878545
2023-12-01,-0.13810939740037043,0.4710280373831776,0.5368620037807184,0.5,18.580733625018333,0.04171508918043543,0.09203295697997906,-0.06454415868581265,-0.06253284287966376,0.578947368421052,0.07412757,VPB,17.84,0.29976905269446613
2023-12-01,0.10341993506345659,0.49696969696969695,0.6453451551614942,0.5948963317384367,77.88239183671372,0.48550981867413157,0.034959276382976044,0.18371869372329286,-0.0054430379746835955,0.7741935483870958,0.7311324,FPT,78.57,0.2927798802250539
2023-12-01,0.1730737612710378,0.4847861842105264,0.621975806451613,0.5351351351351351,24.115273809823258,0.2724427211759739,0.06309963357658256,0.048951507221776325,0.02209492635024546,0.5,0.35147408,SSI,24.98,0.5289315606728522
2023-12-01,0.0570770898340367,0.5159420289855072,0.6230529595015575,0.5360824742268043,12.74235752413057,0.09298933781638041,0.05110727289515379,-0.0006103813482738474,0.03608660785886131,0.5573770491803282,0.5280025,TPB,12.92,0.28254987176474333
2023-12-01,0.014607036459899803,0.5054316752429959,0.6224999999999998,0.692682926829268,32.27812685103981,0.3625185496473904,0.14602467688852863,0.36042703960667666,-0.005762814680012052,0.7818791946308714,0.69154453,PLX,32.78,0.33177291943819476
2023-12-01,0.3454008512182867,0.5489957395009131,0.6290909090909095,0.6309523809523817,30.912803607839386,0.31816567230961823,0.03693500741100813,0.20854925404032798,0.09629629629629632,0.6222222222222236,0.8775143,BID,32.56,0.2637795870943516
2023-12-01,-0.49831072764787976,0.3773087071240107,0.40243902439024404,0.5,24.045180715695015,0.11616870862572526,0.05182894753346665,-0.12812751131114553,-0.1428571428571429,0.5416666666666666,0.013090679,VRE,22.8,0.4132030727747674
2023-12-01,-0.7968542869571422,0.39667896678966785,0.44871794871794873,0.38392857142857173,64.35185441991914,-0.16469404686591815,0.036849845530381176,-0.5357182328136432,-0.10869565217391308,0.47619047619047633,0.013822768,MSN,61.5,0.4199170301342894
2023-12-01,-0.536621041428873,0.406538734896944,0.43342516069788795,0.33333333333333326,63.94105363305001,0.1438023226047349,0.10377486898158775,-0.304779055544401,-0.053955189757658895,0.5183673469387762,0.015862964,VNM,62.07,0.2214248126217511
2023-12-01,-0.8271382120353081,0.3844466114090686,0.49327052489905776,0.33290978398983456,40.95625011929166,0.11298455396580209,0.03480785040823307,-0.29519349604795053,-0.13325817361894032,0.5508021390374328,0.015063005,MWG,38.44,0.4900085872265567
2023-12-01,-0.5009181550000292,0.4165316045380875,0.5163934426229507,0.830508474576271,41.33101810133682,0.17244617024665132,0.16335505763308128,0.27213257206321373,-0.08089887640449445,0.8461538461538464,0.1601752,VHM,40.9,0.3930264253489039
2023-12-01,-0.12473577487347853,0.4936086529006884,0.38038496791934023,0.43197278911564696,57.68720069358538,-0.1532497159805999,0.045494667022259024,-0.2712598054034032,0.0024682651622003338,0.18691588785046875,0.013979076,VCB,56.86,0.1754397944018478
2023-12-01,-0.32086273012699706,0.4168674698795181,0.44252873563218387,0.2533333333333337,29.163290704042797,-0.2651613848237808,0.08682182270149809,-0.38271933691202165,-0.08637873754152825,0.3260869565217391,0.0040735565,STB,27.5,0.3709882416157776
2023-12-01,-0.2839977079678988,0.4246575342465754,0.5198412698412699,0.4883720930232556,43.245895449229195,0.012008472375136137,0.07433490203813523,-0.19804867662625725,-0.028835063437139596,0.6595744680851068,0.1022977,VIC,42.1,0.3437698261802969
